AF3_THETA,AF3_ALPHA,AF3_LOW_BETA,AF3_HIGH_BETA,AF3_GAMMA,T7_THETA,T7_ALPHA,T7_LOW_BETA,T7_HIGH_BETA,T7_GAMMA,Pz_THETA,Pz_ALPHA,Pz_LOW_BETA,Pz_HIGH_BETA,Pz_GAMMA,T8_THETA,T8_ALPHA,T8_LOW_BETA,T8_HIGH_BETA,T8_GAMMA,AF4_THETA,AF4_ALPHA,AF4_LOW_BETA,AF4_HIGH_BETA,AF4_GAMMA,Label
5636.760318,1994.905889,773.990602,328.056595,72.432442,30.321125,16.329901,8.058828,6.810048,3.716485,5957.765033,2161.909734,807.968073,334.340988,72.667214,10636.6456,4157.451849,1179.169313,426.028785,101.034545,5315.200414,1860.487952,706.925857,306.516651,68.421862,1
2726.817884,1388.759935,582.229939,250.979921,41.859661,25.733703,11.344565,6.772013,4.852979,2.524289,3121.174477,1569.859877,635.010995,262.950284,42.47042,8167.379799,3807.0184,1166.034484,394.673979,75.791803,2394.08448,1197.305535,494.960567,219.611322,35.981448,1
3869.807991,1828.243847,828.74164,350.022685,58.435169,23.183995,12.29922,8.593259,5.909699,2.378326,4162.941756,1976.56057,870.949819,359.980801,57.621353,9909.134687,4439.7727,1591.042638,559.196947,98.711072,3349.565043,1561.662678,693.812994,303.523094,48.946604,1
6749.551081,2807.621989,1303.840784,524.875829,88.499954,20.956984,14.08891,11.428456,7.600335,2.383044,6799.782909,2875.346563,1311.745211,526.070816,85.43683,13515.85192,5548.822132,2230.536553,798.484211,135.191493,5938.961268,2439.622586,1103.615847,460.12148,74.614697,1
10660.91269,4164.36472,1889.414184,729.836465,118.171605,19.108093,15.636234,13.966337,9.150023,2.382543,10350.15633,4108.154086,1844.010804,716.268178,112.803636,18064.68962,6943.818056,2933.381789,1045.327339,169.019815,9520.341557,3687.918592,1619.193844,648.148669,100.425398,1
15468.41421,5756.11821,2468.880026,934.494761,140.783744,18.356588,16.914264,15.571294,10.23426,2.375868,14704.73321,5547.27997,2360.294142,902.455036,133.580684,23058.81296,8421.86528,3543.980696,1251.717747,191.204487,14049.34016,5197.817954,2142.41614,842.537116,120.896809,1
21102.67324,7402.341548,2894.386588,1144.507378,155.16766,18.62435,18.0753,16.112262,10.902254,2.367405,19821.81408,7025.105223,2728.150526,1092.529831,146.883358,27963.76328,9718.872507,3888.860689,1419.090334,199.557425,19570.88258,6823.303108,2543.637121,1051.991031,135.654565,1
27207.89503,9110.53902,3082.434108,1397.696037,167.221952,19.596185,19.581719,15.883914,11.539248,2.395417,25393.15708,8544.300033,2876.635664,1324.944405,158.505149,32333.45922,10783.38758,3892.683595,1593.815839,200.820841,25776.83339,8595.331316,2750.189051,1313.973769,150.536875,1
33537.42924,11254.19472,3052.924167,1741.701287,186.512466,20.969233,22.193935,15.423308,12.620622,2.536946,31188.08233,10441.68555,2828.042113,1645.967093,177.514647,36064.556,11987.982,3609.377335,1841.120636,207.215348,32405.37648,10885.62914,2780.483043,1672.326579,174.086982,1
39350.74466,14214.90943,3001.780019,2179.048735,219.565669,22.755514,26.405635,15.396947,14.359166,2.867631,36505.15097,13066.98264,2765.3072,2057.028281,209.796008,39143.18642,13856.33748,3292.572223,2183.938321,228.867646,38597.03139,14040.47468,2813.473684,2124.898294,211.284271,1
44633.51581,17844.57229,3191.180996,2641.826607,264.444931,25.268147,31.590219,16.279898,16.520251,3.388089,41295.0171,16293.99181,2927.012809,2491.56129,252.995951,42139.22695,16461.12893,3257.319962,2570.03437,266.544777,44199.45644,17862.83207,3085.253624,2600.337844,258.853251,1
48759.69601,21404.04545,3754.342687,3020.94146,310.300969,28.18334,36.035615,17.875787,18.522888,3.983548,44925.00594,19457.64522,3428.90012,2844.158664,296.271472,44899.68751,19263.22325,3660.201533,2899.540808,309.704863,48462.04527,21567.78637,3705.81253,2987.907379,305.35319,1
51713.31465,23915.87446,4605.45163,3207.025419,342.075393,30.956632,38.007302,19.645227,19.675052,4.469457,47389.58977,21677.08708,4186.552926,3010.673641,325.07662,47418.51121,21416.62608,4414.336008,3064.332091,341.562567,51340.98734,24145.13461,4578.86847,3178.822464,336.031406,1
52608.67835,24685.18309,5443.114405,3142.146784,348.381191,32.555942,36.75046,20.880463,19.495729,4.682201,47903.66262,22319.20708,4925.921102,2936.836199,328.69448,48625.13162,22240.65759,5207.042145,2999.909508,348.164414,52006.71159,24884.21821,5408.37638,3116.572514,340.360287,1
51129.02869,23619.07001,6004.61218,2857.522696,328.47815,32.30947,32.699343,21.360296,17.985666,4.564679,46264.43985,21288.20831,5412.539163,2653.985358,306.804801,47763.29909,21524.21688,5761.165944,2728.814991,327.271098,50275.06095,23701.84951,5942.890223,2833.095623,318.367269,1
46716.63859,21369.43484,6189.820081,2436.778122,290.793331,29.914025,27.607243,21.586737,15.557884,4.174745,42029.17455,19169.99933,5560.623415,2244.589873,267.958547,44027.52402,19741.20699,5967.179698,2327.71684,287.137997,45701.8875,21277.89178,6092.147333,2413.27438,278.962143,1
40307.12811,19206.91708,6126.351247,1992.807821,248.014712,26.291892,23.711382,22.414147,12.937347,3.64188,36097.45498,17120.1188,5488.920102,1818.308232,224.729641,38226.1458,18023.89219,5940.817376,1905.800172,241.042109,39269.27049,18907.74727,5988.711929,1970.86655,235.14667,1
33744.58819,18086.37379,6103.842676,1620.202607,211.129047,22.814098,22.267957,24.602088,10.771259,3.110466,30108.38605,16025.66527,5458.276537,1465.348553,187.911207,32288.44189,17269.56364,5963.934178,1556.272596,200.840399,32735.87013,17574.34948,5921.105832,1600.662216,198.220353,1
29631.36794,18292.25743,6332.713517,1362.683124,186.202945,21.012008,23.260117,28.212559,9.348146,2.691134,26370.26858,16175.96446,5654.566137,1225.386455,163.354248,28807.79663,17749.54597,6234.94248,1321.419622,173.635603,28595.68463,17596.07065,6100.426732,1345.618782,174.333012,1
29753.0401,19543.76465,6820.232681,1213.18551,174.239656,21.629873,25.738061,32.595263,8.570867,2.434945,26439.48629,17335.61794,6083.306686,1089.034886,151.938431,29577.28597,19208.46092,6758.091017,1193.079479,161.670134,28533.19231,18715.23337,6538.5174,1197.339233,164.218027,1
33779.04154,20759.91234,7428.237614,1139.026421,175.489007,24.292316,28.184702,36.678716,8.207697,2.368174,30004.77601,18520.03422,6622.494411,1022.494433,153.654873,34174.8526,20613.28349,7395.238572,1136.962552,165.856106,32245.47792,19871.35414,7104.728873,1121.788047,167.590146,1
39389.34546,21031.04155,7887.269103,1112.915721,189.090681,27.533254,29.498893,39.080406,8.091827,2.508212,34986.1251,18880.25709,7032.220658,998.259183,167.356006,40208.50186,21061.39092,7880.745978,1125.200959,184.888018,37516.51675,20162.60564,7539.262333,1090.701289,183.03482,1
43686.08816,19956.16469,7835.683964,1111.076737,211.550316,29.537411,28.903729,38.493508,8.167475,2.848215,38814.17868,18024.65053,6988.795015,994.253678,189.501983,44728.76503,20123.40478,7854.714274,1134.708165,214.022125,41585.01228,19186.7642,7493.487551,1080.700138,206.613731,1
44907.27466,17821.55472,7191.316884,1117.060206,234.970419,29.174203,26.584143,34.642355,8.421991,3.30588,39957.8601,16192.53943,6416.249459,996.672864,212.34956,45962.12063,18044.30912,7237.618483,1149.635494,243.743552,42780.40268,17209.56048,6882.975978,1076.967996,230.145922,1
43538.72772,15505.45945,6254.859537,1124.855031,251.055309,26.76195,23.465884,28.549696,8.848225,3.73154,38890.72374,14171.91727,5578.735589,1001.836219,227.675727,44439.47311,15699.61233,6334.855623,1164.037987,264.442327,41572.31297,15063.37212,5987.433877,1075.914841,245.361245,1
41603.01099,13961.66069,5538.936319,1143.093931,254.858928,23.419512,20.919545,22.252807,9.425894,3.968001,37422.06803,12830.6482,4931.928657,1019.013652,230.516025,42274.71854,14080.00014,5664.751354,1186.097389,270.468525,39876.73758,13646.72318,5290.051015,1087.406928,247.664731,1
40880.16012,13845.82128,5463.740654,1184.702549,246.46953,20.508304,19.962749,17.762913,10.040944,3.920631,37086.07518,12763.17,4851.93988,1059.65157,220.973435,41362.30119,13891.4957,5646.469148,1228.839635,262.05767,39347.56818,13566.89523,5192.102093,1123.938604,237.678881,1
42111.00561,15155.18788,6104.755179,1259.382692,230.876394,18.999443,20.793344,16.110833,10.528131,3.611573,38469.54013,13970.71899,5408.870472,1130.448256,204.225883,42523.37142,15168.34323,6346.676475,1302.570293,245.190851,40635.69269,14808.32702,5769.867546,1193.163156,220.815007,1
45022.52435,17168.19913,7216.047018,1356.087738,213.415952,19.292353,22.634938,17.116857,10.702358,3.156831,41257.26896,15805.04843,6388.880305,1219.088278,186.141526,45511.65176,17202.58351,7504.13301,1397.30723,226.488046,43422.95657,16678.59414,6795.499854,1282.737456,202.716991,1
48590.83427,18725.16987,8370.324367,1444.693293,196.790805,20.985951,24.120055,19.796655,10.450303,2.704901,44485.70184,17217.27455,7414.773046,1297.045538,170.031947,49268.74525,18820.9672,8677.33952,1484.313465,209.519755,46689.34969,18076.30211,7865.603897,1363.157195,186.209393,1
51439.12711,18852.79138,9251.615038,1492.295928,181.460391,23.364958,24.176968,23.183504,9.807438,2.382334,46919.53571,17327.17321,8203.285366,1335.142566,156.542905,52338.05588,19019.42568,9543.908956,1531.139866,194.74838,49128.60125,18090.11055,8678.408664,1404.069178,171.63192,1
52520.86274,17370.25285,9721.178119,1479.767112,166.593278,25.516385,22.679964,26.49489,8.931407,2.250028,47664.59866,15966.45348,8623.079763,1317.199898,144.539862,53591.3813,17587.76169,9971.864597,1517.87646,180.590184,49802.77871,16568.00339,9098.845686,1388.795244,157.916891,1
51302.75527,15032.34676,9820.252733,1408.773147,150.788777,26.863905,20.648919,29.19701,8.030278,2.284327,46315.02175,13808.74298,8701.707063,1245.502469,131.98433,52446.84951,15269.68498,10018.59514,1444.581639,164.687208,48302.16341,14244.89395,9165.110707,1319.816876,143.436408,1
47440.97351,12711.60467,9599.71122,1286.627916,133.572166,26.674256,19.108601,30.752292,7.227013,2.401951,42627.45659,11637.23201,8481.775885,1127.9857,117.696899,48547.31954,12936.4327,9751.647075,1316.741559,146.100677,44392.29768,11960.93291,8930.559576,1204.794069,127.553991,1
41248.7284,11018.87969,9107.487112,1156.069133,116.980675,24.753333,18.415415,30.835639,6.632741,2.516866,36918.28613,10008.72405,8009.737354,1003.122888,103.179051,42231.74672,11207.57772,9228.559302,1176.684551,127.146937,38409.42561,10295.06051,8446.297696,1083.999433,112.139112,1
33760.30782,10066.81315,8402.258848,1089.11562,104.37647,21.655654,18.568252,29.576042,6.500485,2.5675,30112.87414,9038.084743,7345.63761,935.910903,91.602177,34591.05597,10212.27118,8506.439442,1097.207836,111.893788,31306.01994,9346.414763,7771.565916,1025.500048,100.264114,1
26329.21823,9849.869174,7667.902538,1151.840557,99.153368,18.354394,20.573007,28.239792,7.265134,2.531349,23385.26838,8727.774797,6661.73014,986.998351,86.495513,27025.04066,9964.460007,7761.586823,1147.028902,104.380471,24280.94275,9081.686788,7077.254768,1091.821894,94.943229,1
20572.25983,10530.17686,7168.56919,1348.355928,103.874018,15.886048,26.259963,28.394732,9.385239,2.512729,18142.96838,9247.8448,6199.645366,1164.229126,90.858806,21175.61196,10634.05953,7250.966076,1333.084597,107.520961,18794.66222,9636.941857,6604.269107,1288.293493,98.578651,1
17529.92038,12291.89411,7069.323667,1615.68324,118.852262,14.895739,36.970491,30.813264,13.057832,2.740683,15310.27962,10788.82201,6108.573552,1415.866801,105.617072,18089.77709,12408.46168,7137.64164,1594.536744,121.631831,15808.80042,11190.76145,6500.371419,1556.416656,111.843678,1
16413.78742,14699.82901,7301.266943,1852.722813,139.900023,15.238214,51.632146,34.913733,17.838422,3.382655,14177.39982,12966.99214,6327.026532,1652.028132,127.161534,16955.87378,14844.72617,7353.377865,1830.629296,142.218355,14608.1183,13356.28498,6701.975274,1799.723712,131.38214,1
16267.13888,16910.69227,7471.37921,1952.440129,158.7936,16.23052,66.580607,38.608565,22.631602,4.39693,13936.76905,15012.20715,6502.578333,1772.72024,147.635553,16799.7695,17085.83673,7506.123774,1932.932511,160.64744,14348.07782,15368.72147,6847.770786,1913.305488,149.917786,1
15230.09604,17868.52981,7132.777149,1853.430974,166.452439,16.756889,76.718335,39.543126,25.990656,5.498573,12962.23767,15957.84156,6233.224405,1714.735804,157.97814,15726.79342,18060.69873,7150.666709,1838.214383,167.678811,13353.71091,16263.90729,6528.370411,1833.829139,158.893549,1
13025.85583,16965.35378,6164.221432,1555.685241,158.471,23.500606,80.339831,38.315791,27.329224,6.32131,11046.52836,15245.4594,5409.78096,1469.103393,153.335103,13464.23821,17164.13197,6166.62039,1543.270382,159.255387,11385.63075,15484.77286,5635.88986,1556.465283,153.632431,1
10879.6946,14439.52887,4920.407583,1184.852034,147.424883,156.763408,110.779019,47.411835,28.979722,6.705353,9357.805682,13090.96058,4356.698869,1147.578769,145.385378,11255.51551,14641.48838,4917.297624,1175.027934,150.264583,9622.412437,13254.20491,4509.143226,1201.11407,145.82198,1
11001.09582,11571.80266,3948.953665,944.944097,162.855052,646.548916,243.270637,92.821161,36.216435,6.868265,9962.692049,10672.72516,3578.86287,942.09311,162.58702,11324.25948,11772.17964,3959.282736,946.043439,173.867646,10152.35404,10767.08074,3668.676917,968.388335,163.955109,1
15050.35643,9867.229084,3723.095094,1000.658826,230.05281,1739.49342,538.06342,195.677862,53.887407,7.236266,14400.57389,9374.7986,3510.535452,1012.365414,229.63535,15341.60092,10063.68687,3769.486613,1027.269894,257.640247,14529.79692,9422.564846,3559.228484,1022.900076,232.666351,1
22857.83737,10118.65416,4347.312091,1370.887936,349.828403,3335.470897,985.168274,350.589337,82.171694,8.086547,22463.98465,9905.806486,4238.352026,1380.393553,347.535896,23126.53806,10313.39464,4445.055243,1436.372532,400.985291,22556.26465,9933.761561,4267.695403,1386.66794,352.728311,1
32474.34081,11951.37676,5478.080023,1908.454406,492.206581,5172.757002,1485.031031,522.713082,114.811643,9.305535,32207.51782,11875.46175,5424.4335,1907.611032,487.218959,32720.22195,12152.66231,5628.097629,2015.881293,568.34086,32281.12242,11903.21067,5448.775209,1916.833409,494.667344,1
40228.00471,14031.80404,6499.477186,2370.111637,607.055711,6626.004264,1882.892611,657.406653,141.258659,10.397272,40036.78546,13995.14859,6470.230667,2359.607753,599.782349,40428.22045,14240.90373,6683.850922,2507.465469,701.896368,40102.18211,14029.19296,6494.728994,2373.303119,608.994132,1
43338.88157,14889.67684,6843.406536,2540.529949,648.13535,7267.583591,2039.53148,708.018749,151.344698,10.739752,43197.87025,14853.98101,6823.527582,2525.687312,639.852576,43472.28274,15090.25667,7032.003058,2685.425124,748.891197,43256.65769,14891.99379,6847.720038,2541.629322,649.776913,1
40299.43188,13730.58091,6276.817,2339.459554,595.980574,6809.181023,1896.377554,654.972576,140.392618,9.941676,40198.32508,13695.94507,6260.169151,2324.838336,588.130257,40344.59248,13893.3407,6439.014548,2468.020423,687.534174,40253.36986,13732.26369,6282.547465,2340.239292,597.42842,1
32124.23627,10791.93443,4922.265727,1833.112666,467.207422,5461.149724,1505.712864,517.858849,111.593841,8.074463,32045.57665,10763.99427,4908.77221,1821.194767,460.868044,32087.91006,10895.84342,5038.357462,1929.305798,537.732575,32095.27687,10794.73179,4927.289083,1833.781547,468.331936,1
21188.13412,7067.625505,3216.441656,1197.321244,305.387441,3659.247039,999.721937,342.545942,74.405658,5.672236,21129.54129,7047.225944,3206.819792,1189.10296,301.083681,21098.33412,7116.003961,3282.989847,1256.476259,350.475037,21169.02287,7069.617046,3219.891303,1197.741178,306.1029,1
11267.02593,3695.744038,1678.010742,623.582646,159.238552,1973.629386,532.161001,181.765211,40.041363,3.453735,11232.2438,3683.625068,1672.466838,619.007478,156.885201,11182.95815,3707.497116,1706.503393,651.884782,182.061358,11256.80058,3696.887834,1679.922833,623.789684,159.598103,1
4370.922896,1409.589953,637.208068,236.476554,60.521743,788.644723,208.538298,71.244343,16.240832,1.938413,4354.610417,1404.154812,634.793817,234.574629,59.565112,4310.52623,1406.522785,644.35396,245.782478,68.806669,4366.912791,1410.082176,638.001352,236.548494,60.650599,1
1031.294992,319.147717,143.339937,52.855753,13.603203,193.138827,49.679146,17.315892,4.48772,1.237694,1026.686097,317.574415,142.682801,52.362213,13.36241,1009.147833,315.281062,143.505412,54.344557,15.305395,1030.331683,319.280293,143.546581,52.869183,13.628858,1
84.249604,22.194554,9.664765,3.511225,0.927723,18.040909,4.07341,1.915545,1.029475,1.1066,83.595918,22.026419,9.593106,3.466848,0.906291,79.488212,21.386844,9.366301,3.497592,1.013909,84.165745,22.207033,9.681783,3.512636,0.928705,1
0.001542,0.000756,0.000428,0.000373,0.000113,0.489386,0.132787,0.47922,0.636246,1.185206,0.000713,0.000188,0.000124,7.40E-05,5.20E-05,0.022624,0.005318,0.002423,0.002466,0.000934,0.000727,0.000204,0.000121,7.40E-05,5.60E-05,1
0.018363,0.002726,0.003143,0.003615,0.0009,0.441306,0.128396,0.368569,0.571734,1.262468,0,0,0,0,0,0.312637,0.03834,0.030016,0.040116,0.018951,0,0,0,0,0,1
215.998016,25.467323,7.784487,4.486283,2.75395,0.545228,0.512573,0.487445,0.376589,0.792271,9.425168,6.955246,9.931327,5.128171,3.464159,6.48607,10.63904,14.099548,5.258497,5.514498,178.45504,23.218266,10.133269,4.712174,2.813,2
172.870519,21.693345,5.959162,3.863363,2.477691,0.593353,0.441345,0.47948,0.390041,0.869012,8.92829,6.599563,7.606403,4.984225,3.128866,6.017341,9.543725,10.527934,4.927631,5.185593,165.219205,22.098293,8.432965,4.438795,2.668389,2
140.499416,17.19018,4.530183,3.333548,2.320897,0.666908,0.379134,0.467653,0.411198,0.932736,7.920545,6.351266,5.891643,4.714969,2.873323,5.620363,8.38835,7.264931,4.715186,4.880963,156.343272,19.411957,6.994629,4.151294,2.622889,2
113.776954,12.934951,3.691932,2.934592,2.347641,0.666495,0.331465,0.449404,0.444609,0.959096,7.267416,6.074458,4.955657,4.283216,2.74292,5.374243,7.262303,4.873122,4.56164,4.677372,138.778055,15.763289,5.902953,3.81706,2.722844,2
92.043955,9.615601,3.625126,2.657833,2.572517,0.68667,0.31308,0.42825,0.488028,0.937082,6.055262,5.780586,4.859175,3.668716,2.739381,4.801765,6.379391,3.714935,4.329825,4.600207,115.700366,11.989343,5.402339,3.403972,2.980164,2
68.750402,7.332411,4.187163,2.485589,2.952475,0.625804,0.332115,0.419495,0.533347,0.877636,5.448095,5.399164,5.197444,2.919183,2.833141,4.518343,5.76412,3.645186,3.935812,4.633306,84.733577,8.658671,5.401751,2.934486,3.360414,2
43.436826,5.894314,5.220109,2.449775,3.397324,0.611708,0.391195,0.429572,0.569549,0.81315,4.538692,4.998996,5.671188,2.186594,2.981799,4.185381,5.444435,4.345466,3.457753,4.735914,51.419938,6.153026,5.878601,2.532216,3.779786,2
23.865441,4.901749,6.43183,2.594421,3.801026,0.53071,0.479602,0.455723,0.587895,0.77979,4.183816,4.644168,6.004777,1.633951,3.146914,4.191119,5.338642,5.343177,3.072475,4.859685,26.318852,4.520993,6.64364,2.337355,4.132922,2
12.024125,4.377232,7.430319,2.909056,4.070698,0.536613,0.583784,0.497883,0.587973,0.797006,3.854469,4.484248,6.126029,1.371299,3.291,4.590031,5.417099,6.251156,2.966484,4.954784,11.879996,3.861811,7.363693,2.408818,4.32876,2
6.953813,4.341697,7.926218,3.319096,4.149379,0.489227,0.672193,0.550829,0.577554,0.855317,3.684272,4.685715,6.078302,1.417228,3.377344,4.97983,5.85066,6.871679,3.223432,4.971785,6.843255,4.070617,7.759013,2.697309,4.319143,2
5.275649,4.864685,7.90111,3.727432,4.034916,0.522917,0.713221,0.608147,0.569057,0.921747,3.601545,5.417786,6.008513,1.70192,3.378418,5.525918,6.924869,7.263068,3.79211,4.875645,6.261147,5.016622,7.740386,3.093295,4.116927,2
4.637611,5.961475,7.536485,4.033926,3.78013,0.509121,0.693819,0.661146,0.572316,0.961316,3.513461,6.734428,6.061583,2.103085,3.288528,5.624296,8.815947,7.552738,4.498257,4.664717,6.381491,6.566245,7.412932,3.467012,3.790568,2
4.268781,7.640888,7.133931,4.169613,3.465507,0.550824,0.630724,0.69888,0.58745,0.957387,3.423,8.417299,6.356024,2.494376,3.126404,5.487332,11.294266,7.898113,5.115101,4.373091,6.1898,8.64957,7.010402,3.727013,3.434413,2
7.187981,9.99534,6.874466,4.113414,3.163699,0.585444,0.551804,0.704279,0.60595,0.916675,3.346753,10.087636,6.842284,2.769643,2.925658,5.006556,13.784281,8.2155,5.451986,4.056669,7.283162,11.218442,6.702217,3.82489,3.123921,2
17.571373,13.022427,6.904751,3.876614,2.907553,0.648626,0.49079,0.666066,0.616702,0.861074,3.330545,11.263785,7.426021,2.8562,2.713798,4.38737,15.506227,8.453737,5.405838,3.765913,12.050054,14.145463,6.646151,3.741153,2.880454,2
38.928838,16.379785,7.18019,3.491645,2.687729,0.713451,0.466869,0.586774,0.608865,0.813223,3.386768,11.510627,7.873073,2.735101,2.510132,3.779828,15.831999,8.523465,4.996404,3.541306,23.656326,17.04944,6.86727,3.471007,2.675683,2
